Matrix Size,Threads,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,4.39892,3.68944,0.70948
5000,2,2.57465,1.84317,0.73148
5000,4,1.62852,0.92599,0.70252
5000,8,1.18002,0.46658,0.71344
5000,16,0.95166,0.23433,0.71733
10000,1,17.43862,14.74758,2.69104
10000,2,10.07440,7.37132,2.70308
10000,4,6.29746,3.73249,2.56497
10000,8,4.34745,1.84986,2.49758
10000,16,3.54194,0.93243,2.60951
20000,1,68.46001,59.09237,9.36764
20000,2,38.78966,29.52336,9.26629
20000,4,24.24962,14.92280,9.32682
20000,8,17.01730,7.51701,9.50029
20000,16,13.05771,3.78826,9.26945
40000,1,282.66766,243.41164,39.25602
40000,2,164.55113,126.85125,37.69988
40000,4,106.80719,66.35920,40.44799
40000,8,76.16230,33.86577,42.29653
40000,16,62.58296,19.25888,43.32407
