Matrix Size,Threads,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,4.45522,3.74684,0.70838
5000,2,2.58978,1.87203,0.71775
5000,4,1.71330,0.94647,0.76683
5000,8,1.22100,0.47241,0.74859
5000,16,0.97290,0.24370,0.72920
10000,1,17.52170,14.96385,2.55785
10000,2,10.11383,7.49166,2.62217
10000,4,6.38607,3.76863,2.61744
10000,8,4.56713,1.88178,2.68535
10000,16,3.67273,0.95052,2.72221
20000,1,69.28784,59.96403,9.32380
20000,2,39.66338,30.00170,9.66168
20000,4,24.58745,15.26512,9.32232
20000,8,17.16334,7.64501,9.51833
20000,16,13.24224,3.84286,9.39939
40000,1,289.83528,249.71641,40.11887
40000,2,165.77242,127.12616,38.64626
40000,4,106.22572,65.72935,40.49637
40000,8,76.34653,35.62836,40.71817
40000,16,63.08964,19.50728,43.58236
