Matrix Size,Processes,OMP Threads,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,1,4.26221,3.53117,0.73103
5000,1,2,7.75744,7.01218,0.74526
5000,1,4,14.74312,14.00723,0.73589
5000,1,8,28.72336,27.92960,0.79376
5000,1,16,56.49869,55.75625,0.74244
5000,2,1,2.61086,1.79428,0.81658
5000,2,2,4.35528,3.51889,0.83639
5000,2,4,7.76913,6.98162,0.78750
5000,2,8,14.74797,13.94415,0.80382
5000,2,16,28.55599,27.73613,0.81986
5000,4,1,1.84021,0.94017,0.90003
5000,4,2,1.82557,0.93044,0.89513
5000,4,4,1.81107,0.93379,0.87728
5000,4,8,1.81698,0.95430,0.86268
5000,4,16,1.94789,1.08254,0.86535
5000,8,1,1.52613,0.56478,0.96135
5000,8,2,1.53642,0.56402,0.97240
5000,8,4,1.53253,0.56209,0.97044
5000,8,8,1.60124,0.57891,1.02232
5000,8,16,1.71373,0.64197,1.07176
5000,16,1,1.26353,0.36459,0.89894
5000,16,2,1.34669,0.36388,0.98281
5000,16,4,1.30247,0.36739,0.93508
5000,16,8,1.36505,0.40021,0.96484
5000,16,16,2.03990,1.11309,0.92682
5000,32,1,1.51145,0.25520,1.25625
5000,32,2,1.47100,0.25989,1.21111
5000,32,4,1.44274,0.27367,1.16906
5000,32,8,2.04336,0.75738,1.28598
5000,32,16,2.73997,1.57404,1.16593
5000,64,1,2.04853,0.18555,1.86298
5000,64,2,2.18503,0.19194,1.99310
5000,64,4,2.61190,0.51899,2.09291
5000,64,8,3.16299,1.28986,1.87314
5000,64,16,5.44352,2.48919,2.95433
5000,128,1,3.85707,0.16117,3.69590
5000,128,2,4.69202,0.53767,4.15434
5000,128,4,4.97055,0.86250,4.10805
5000,128,8,6.81615,1.70919,5.10695
5000,128,16,9.19316,2.77538,6.41777
10000,1,1,16.90665,14.19839,2.70827
10000,1,2,30.92980,28.14780,2.78200
10000,1,4,59.15618,56.19561,2.96057
10000,1,8,114.37688,111.48678,2.89010
10000,1,16,226.71689,223.90920,2.80769
10000,2,1,10.23365,7.14703,3.08662
10000,2,2,17.16325,14.08856,3.07469
10000,2,4,30.97936,27.89617,3.08319
10000,2,8,58.63096,55.58166,3.04930
10000,2,16,114.23457,111.14506,3.08950
10000,4,1,6.93426,3.75646,3.17780
10000,4,2,7.05772,3.75363,3.30408
10000,4,4,7.10528,3.74002,3.36526
10000,4,8,6.97986,3.78816,3.19170
10000,4,16,7.56189,4.29511,3.26678
10000,8,1,5.45350,2.17262,3.28088
10000,8,2,5.46140,2.16678,3.29462
10000,8,4,5.44050,2.17035,3.27015
10000,8,8,5.56461,2.19850,3.36611
10000,8,16,5.86742,2.45459,3.41283
10000,16,1,4.63603,1.35506,3.28097
10000,16,2,4.65785,1.35826,3.29960
10000,16,4,4.67402,1.37075,3.30327
10000,16,8,4.88025,1.50071,3.37954
10000,16,16,6.31875,3.04265,3.27610
10000,32,1,4.39895,0.92913,3.46982
10000,32,2,4.53227,0.93722,3.59505
10000,32,4,4.57838,0.97509,3.60328
10000,32,8,5.38084,1.79198,3.58886
10000,32,16,6.81415,3.45397,3.36018
10000,64,1,4.55233,0.64434,3.90798
10000,64,2,4.50580,0.66326,3.84254
10000,64,4,5.10458,1.11269,3.99189
10000,64,8,6.21968,2.23909,3.98059
