Matrix Size,Threads,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,3.87837,3.46419,0.41417
5000,2,2.13772,1.72877,0.40895
5000,4,1.24794,0.87447,0.37347
5000,8,0.80084,0.43785,0.36299
5000,16,0.63674,0.22089,0.41585
10000,1,15.06894,13.85592,1.21302
10000,2,8.39723,6.88533,1.51191
10000,4,4.96681,3.46934,1.49747
10000,8,3.41773,1.72730,1.69044
10000,16,2.36507,0.89096,1.47411
20000,1,59.92087,54.87660,5.04427
20000,2,32.79375,27.68190,5.11186
20000,4,19.51768,14.22937,5.28831
20000,8,12.23899,7.12724,5.11175
20000,16,8.90920,3.66206,5.24715
40000,1,240.51969,222.16610,18.35359
40000,2,129.98853,111.52076,18.46777
40000,4,75.08969,56.73520,18.35449
40000,8,48.47241,28.74729,19.72513
40000,16,34.21198,15.01556,19.19643
