Matrix Size,Threads,Time Overall (s),Time Computation (s),Time Other (s)
5000,1,3.92396,3.54734,0.37662
5000,2,2.16086,1.77729,0.38358
5000,4,1.28822,0.88913,0.39910
5000,8,0.85544,0.44705,0.40839
5000,16,0.63314,0.22965,0.40348
10000,1,15.62276,14.20755,1.41521
10000,2,8.84137,7.25042,1.59095
10000,4,5.03182,3.61579,1.41603
10000,8,3.34874,1.79737,1.55137
10000,16,2.41093,0.90994,1.50099
20000,1,62.64753,57.83285,4.81468
20000,2,33.88972,28.93767,4.95204
20000,4,19.21607,14.49755,4.71852
20000,8,11.98607,7.22331,4.76276
20000,16,8.79629,3.73135,5.06494
40000,1,245.18617,227.67985,17.50632
40000,2,135.54852,117.04889,18.49963
40000,4,79.31444,61.45199,17.86245
40000,8,49.23015,30.25673,18.97342
40000,16,34.18735,15.48905,18.69830
